connection_number,date,time,url
1,03-30-2014,21-36-36.929290,upload-lb.eqiad.wikimedia.org
3,03-30-2014,21-36-40.432382,text-lb.eqiad.wikimedia.org
563,03-30-2014,21-36-59.561216,server-54-230-37-120.jfk1.r.cloudfront.net
567,03-30-2014,21-37-00.352403,a184-51-155-185.deploy.static.akamaitechnologies.com
643,03-30-2014,21-37-00.628733,server-54-230-39-69.jfk1.r.cloudfront.net
809,03-30-2014,21-37-01.349199,a23-52-155-27.deploy.static.akamaitechnologies.com
1036,03-30-2014,21-37-30.724981,69.172.216.55
