connection_number,date,time,url
1,02-23-2014,17-44-29.083271,ipv4_1.lagg0.c132.nyc001.ix.nflxvideo.net
5362,02-23-2014,17-45-25.423431,ec2-107-21-122-193.compute-1.amazonaws.com
6111,02-23-2014,17-45-33.434527,8.247.89.200
10399,02-23-2014,17-46-25.605481,199.16.156.72
18823,02-23-2014,17-47-38.794416,a23-76-229-210.deploy.static.akamaitechnologies.com
20870,02-23-2014,17-47-56.110718,client-10a.v.dropbox.com
30854,02-23-2014,17-49-12.409455,72.21.91.19
30904,02-23-2014,17-49-26.886672,float.1225.bm-impbus.prod.nym2.adnexus.net
30910,02-23-2014,17-49-27.188967,float.1447.bm-impbus.prod.nym2.adnexus.net
30914,02-23-2014,17-49-27.493444,207.46.193.172
30919,02-23-2014,17-49-27.795469,69.172.216.55
30967,02-23-2014,17-49-41.269549,69.172.216.111
30969,02-23-2014,17-49-41.569112,69.172.216.58
31039,02-23-2014,17-49-42.467489,a23-76-212-46.deploy.static.akamaitechnologies.com
31456,02-23-2014,17-49-43.006701,s113.loopia.se
32868,02-23-2014,17-49-49.503673,nc01.jquery.net
33185,02-23-2014,17-49-50.614426,ec2-54-225-174-133.compute-1.amazonaws.com
34506,02-23-2014,17-50-02.644344,108.161.188.209
46018,02-23-2014,17-51-52.778806,199.96.57.7
50436,02-23-2014,17-52-24.860308,199.16.156.6
65025,02-23-2014,17-54-22.133727,smtp.perfora.net.submission
65353,02-23-2014,17-54-25.232250,199.16.156.8
97968,02-23-2014,17-58-24.800644,199.16.156.199
98282,02-23-2014,17-58-26.838965,199.16.156.231
106425,02-23-2014,17-59-29.940622,a23-67-244-144.deploy.static.akamaitechnologies.com
106447,02-23-2014,17-59-30.247922,edge-star-shv-04-lga1.facebook.com
106473,02-23-2014,17-59-30.537943,a23-67-243-66.deploy.static.akamaitechnologies.com
106566,02-23-2014,17-59-31.115906,xx-fbcdn-shv-05-lga1.fbcdn.net
106589,02-23-2014,17-59-31.453253,a23-67-244-152.deploy.static.akamaitechnologies.com
106591,02-23-2014,17-59-31.821816,a23-66-230-75.deploy.static.akamaitechnologies.com
106762,02-23-2014,17-59-32.193350,a23-67-244-122.deploy.static.akamaitechnologies.com
106768,02-23-2014,17-59-32.536831,xx-fbcdn-shv-06-lga1.fbcdn.net
106831,02-23-2014,17-59-33.195038,a23-67-244-18.deploy.static.akamaitechnologies.com
107070,02-23-2014,17-59-34.147616,imap.perfora.net.imap
107380,02-23-2014,17-59-35.905783,channelproxy-shv-04-frc3.facebook.com
107387,02-23-2014,17-59-36.266897,a23-50-75-27.deploy.static.akamaitechnologies.com
108260,02-23-2014,17-59-42.675861,a184-51-126-136.deploy.static.akamaitechnologies.com
108472,02-23-2014,17-59-43.690175,a184-51-126-177.deploy.static.akamaitechnologies.com
108765,02-23-2014,17-59-44.724809,a23-15-9-34.deploy.static.akamaitechnologies.com
111715,02-23-2014,18-00-04.770833,client-14b.v.dropbox.com
111834,02-23-2014,18-00-05.807428,ec2-50-19-215-184.compute-1.amazonaws.com
112672,02-23-2014,18-00-12.828228,a184-51-126-130.deploy.static.akamaitechnologies.com
112749,02-23-2014,18-00-13.196030,a23-66-230-25.deploy.static.akamaitechnologies.com
112754,02-23-2014,18-00-13.562407,a23-67-243-26.deploy.static.akamaitechnologies.com
114275,02-23-2014,18-00-25.181428,p3nlhg36c067.shr.prod.phx3.secureserver.net
114283,02-23-2014,18-00-25.922950,72.21.91.129
114286,02-23-2014,18-00-26.363247,server-54-230-39-94.jfk1.r.cloudfront.net
114352,02-23-2014,18-00-26.786955,a23-76-225-224.deploy.static.akamaitechnologies.com
114488,02-23-2014,18-00-27.494133,server-54-230-39-121.jfk1.r.cloudfront.net
129409,02-23-2014,18-02-11.371654,api-7a.v.dropbox.com
131334,02-23-2014,18-02-26.406587,199.16.156.48
143208,02-23-2014,18-03-52.545722,api-7b.v.dropbox.com
152430,02-23-2014,18-05-08.646931,api-5a.v.dropbox.com
162576,02-23-2014,18-06-28.781012,199.16.156.104
168272,02-23-2014,18-07-26.046115,93.184.216.146
168274,02-23-2014,18-07-26.474058,199.16.156.198
170666,02-23-2014,18-07-59.119311,api-8b.v.dropbox.com
173573,02-23-2014,18-08-40.255639,api-2a.v.dropbox.com
175999,02-23-2014,18-11-27.087201,199.16.156.38
176113,02-23-2014,18-12-32.265271,199.16.156.102
176245,02-23-2014,18-14-34.387933,199.16.156.40
176345,02-23-2014,18-15-04.690510,a23-67-244-153.deploy.static.akamaitechnologies.com
176452,02-23-2014,18-15-06.685263,ipv4_1.lagg0.c057.sjc002.ix.nflxvideo.net
