connection_number,date,time,url
1,02-23-2014,17-30-49.212551,ipv4_1.lagg0.c132.nyc001.ix.nflxvideo.net
430,02-23-2014,17-30-52.259039,8.247.89.200
7785,02-23-2014,17-31-44.609450,ec2-107-21-122-193.compute-1.amazonaws.com
21381,02-23-2014,17-33-16.752432,a23-76-229-210.deploy.static.akamaitechnologies.com
27384,02-23-2014,17-33-57.903775,client-8b.v.dropbox.com
30758,02-23-2014,17-34-24.048983,smtp.perfora.net.submission
30870,02-23-2014,17-34-25.075072,199.16.156.231
31807,02-23-2014,17-34-31.225615,mail.medlinkrecruiting.com
31970,02-23-2014,17-34-32.046142,edge-star-shv-04-lga1.facebook.com
32001,02-23-2014,17-34-32.723793,a23-76-212-46.deploy.static.akamaitechnologies.com
32054,02-23-2014,17-34-33.052420,ec2-54-225-188-104.compute-1.amazonaws.com
46704,02-23-2014,17-36-58.050938,199.96.57.7
50328,02-23-2014,17-37-25.110266,199.16.156.70
