connection_number,date,time,url
1,02-23-2014,16-40-23.915801,a23-50-75-27.deploy.static.akamaitechnologies.com
3,02-23-2014,16-40-34.530083,8.247.89.200
11,02-23-2014,16-42-25.059733,199.16.156.72
23,02-23-2014,16-43-53.148838,api-5a.v.dropbox.com
25,02-23-2014,16-44-22.173903,smtp.perfora.net.submission
50,02-23-2014,16-45-12.385974,ec2-54-225-177-193.compute-1.amazonaws.com
51,02-23-2014,16-45-13.387398,a23-67-244-10.deploy.static.akamaitechnologies.com
70,02-23-2014,16-45-13.688815,ec2-23-21-120-235.compute-1.amazonaws.com
101,02-23-2014,16-46-32.496951,api-5b.v.dropbox.com
115,02-23-2014,16-47-43.625094,a23-76-229-210.deploy.static.akamaitechnologies.com
856,02-23-2014,16-47-52.049063,imap.perfora.net.imap
862,02-23-2014,16-50-44.915365,199.16.156.199
890,02-23-2014,16-50-48.954078,199.16.156.231
934,02-23-2014,16-51-36.273307,199.16.156.40
1002,02-23-2014,16-51-47.303967,client-8a.v.dropbox.com
1218,02-23-2014,16-54-44.710055,199.16.156.104
1224,02-23-2014,16-54-45.537183,api-6b.v.dropbox.com
1335,02-23-2014,16-56-44.048132,api-8a.v.dropbox.com
1337,02-23-2014,16-58-27.178616,api-7a.v.dropbox.com
1395,02-23-2014,17-00-05.355986,client-13b.v.dropbox.com
1401,02-23-2014,17-00-06.380179,ec2-50-16-212-218.compute-1.amazonaws.com
1409,02-23-2014,17-00-26.419113,client-14a.v.dropbox.com
1502,02-23-2014,17-02-45.639390,api-6a.v.dropbox.com
1666,02-23-2014,17-04-49.869629,199.16.156.198
1684,02-23-2014,17-06-45.093143,199.16.156.8
1866,02-23-2014,17-10-09.389072,api-2a.v.dropbox.com
1902,02-23-2014,17-11-35.710683,199.16.156.70
1935,02-23-2014,17-12-18.800633,api-7b.v.dropbox.com
2109,02-23-2014,17-15-35.114672,api-2b.v.dropbox.com
2716,02-23-2014,17-16-27.197848,199.16.156.6
2857,02-23-2014,17-17-33.385017,199.16.156.102
3662,02-23-2014,17-17-57.137023,edge-star-shv-04-lga1.facebook.com
3714,02-23-2014,17-17-58.201047,xx-fbcdn-shv-05-lga1.fbcdn.net
3724,02-23-2014,17-17-58.547369,a23-67-244-18.deploy.static.akamaitechnologies.com
3748,02-23-2014,17-17-58.902400,a23-67-243-66.deploy.static.akamaitechnologies.com
3750,02-23-2014,17-17-59.260597,a23-67-243-65.deploy.static.akamaitechnologies.com
3782,02-23-2014,17-17-59.621540,a23-67-244-122.deploy.static.akamaitechnologies.com
3789,02-23-2014,17-17-59.981455,207.46.193.172
3828,02-23-2014,17-18-03.312285,channelproxy-shv-04-frc3.facebook.com
3855,02-23-2014,17-18-03.667259,xx-fbcdn-shv-06-lga1.fbcdn.net
4101,02-23-2014,17-18-09.373569,a23-15-9-34.deploy.static.akamaitechnologies.com
4129,02-23-2014,17-18-09.731932,a23-67-243-48.deploy.static.akamaitechnologies.com
4332,02-23-2014,17-18-23.530382,xx-fbcdn-shv-09-dfw1.fbcdn.net
4370,02-23-2014,17-18-24.558846,199.16.156.38
4382,02-23-2014,17-18-31.124778,66.6.40.55
4392,02-23-2014,17-18-31.733135,server-54-230-36-141.jfk1.r.cloudfront.net
4394,02-23-2014,17-18-32.095239,204.93.33.24
4442,02-23-2014,17-18-32.480656,93.184.216.98
4459,02-23-2014,17-18-32.874551,server-54-230-39-165.jfk1.r.cloudfront.net
4637,02-23-2014,17-18-33.252964,66.6.40.79
4647,02-23-2014,17-18-33.625633,server-54-230-39-228.jfk1.r.cloudfront.net
4674,02-23-2014,17-20-36.404546,ec2-50-16-213-218.compute-1.amazonaws.com
4680,02-23-2014,17-20-36.859323,a23-67-244-89.deploy.static.akamaitechnologies.com
4736,02-23-2014,17-20-37.527721,a23-76-223-139.deploy.static.akamaitechnologies.com
5561,02-23-2014,17-20-39.023528,a23-76-210-110.deploy.static.akamaitechnologies.com
5563,02-23-2014,17-20-40.024133,ec2-107-21-122-193.compute-1.amazonaws.com
5585,02-23-2014,17-20-40.453320,ipv4_1.lagg0.c132.nyc001.ix.nflxvideo.net
10046,02-23-2014,17-21-24.304686,a23-67-244-112.deploy.static.akamaitechnologies.com
10049,02-23-2014,17-21-24.745146,199.16.156.230
