connection_number,date,time,url
1,02-22-2014,22-06-18.767784,ipv4_1.lagg0.c062.nyc001.ix.nflxvideo.net
122,02-22-2014,22-06-20.905242,ec2-54-225-177-193.compute-1.amazonaws.com
1840,02-22-2014,22-06-40.118743,ec2-184-73-241-184.compute-1.amazonaws.com
4580,02-22-2014,22-07-14.078397,a23-67-244-114.deploy.static.akamaitechnologies.com
6154,02-22-2014,22-07-23.231847,a23-76-229-210.deploy.static.akamaitechnologies.com
6172,02-22-2014,22-07-23.493677,199.16.156.40
10284,02-22-2014,22-08-03.311172,199.16.156.198
11180,02-22-2014,22-09-02.824725,199.16.156.231
11208,02-22-2014,22-09-19.989804,ec2-54-243-76-119.compute-1.amazonaws.com
11215,02-22-2014,22-09-21.430534,89.30.105.77
11476,02-22-2014,22-09-23.477825,server-54-230-39-209.jfk1.r.cloudfront.net
11559,02-22-2014,22-09-23.777861,a23-76-148-239.deploy.static.akamaitechnologies.com
11560,02-22-2014,22-09-24.053874,a23-76-225-224.deploy.static.akamaitechnologies.com
11790,02-22-2014,22-09-24.625773,a23-76-210-110.deploy.static.akamaitechnologies.com
11821,02-22-2014,22-09-25.626468,a23-52-91-27.deploy.static.akamaitechnologies.com
11835,02-22-2014,22-09-25.884006,edge-star-shv-12-iad1.facebook.com
11876,02-22-2014,22-09-26.150198,a23-67-243-65.deploy.static.akamaitechnologies.com
11906,02-22-2014,22-09-30.691156,ec2-50-17-181-2.compute-1.amazonaws.com
11919,02-22-2014,22-09-38.967937,edge-star-shv-08-iad1.facebook.com
11921,02-22-2014,22-09-39.251439,199.16.156.83
11933,02-22-2014,22-09-39.508934,a23-208-53-210.deploy.static.akamaitechnologies.com
12000,02-22-2014,22-10-07.198453,199.16.156.70
12003,02-22-2014,22-10-14.206273,smtp.perfora.net.submission
12240,02-22-2014,22-11-48.642297,66.6.44.4
12246,02-22-2014,22-11-48.895785,93.184.216.98
12256,02-22-2014,22-11-49.153194,server-204-246-169-92.jfk1.r.cloudfront.net
12342,02-22-2014,22-11-49.411342,server-54-230-38-187.jfk1.r.cloudfront.net
12464,02-22-2014,22-11-49.687891,66.6.40.62
12982,02-22-2014,22-12-07.148654,izanagi.tympanus.net
12988,02-22-2014,22-12-07.419608,108.161.189.35
13054,02-22-2014,22-12-08.298333,72.21.91.121
13252,02-22-2014,22-12-08.552215,108.161.189.91
13331,02-22-2014,22-12-08.810870,server-54-230-37-65.jfk1.r.cloudfront.net
13572,02-22-2014,22-12-33.003249,s113.loopia.se
13592,02-22-2014,22-12-34.050209,active-www.paypal.com
13638,02-22-2014,22-12-34.308372,72.21.91.19
13641,02-22-2014,22-12-34.813604,a23-52-155-27.deploy.static.akamaitechnologies.com
13643,02-22-2014,22-12-35.355815,a23-76-211-146.deploy.static.akamaitechnologies.com
13646,02-22-2014,22-12-36.755924,199.16.156.41
13648,02-22-2014,22-12-37.269185,8.15.229.45
13659,02-22-2014,22-12-42.111713,float.593.bm-impbus.prod.nym1.adnexus.net
13662,02-22-2014,22-12-42.442622,68.67.152.231
13663,02-22-2014,22-12-42.979043,69.172.216.55
13697,02-22-2014,22-13-08.668359,8.15.229.36
13709,02-22-2014,22-13-08.976215,ec2-107-23-205-78.compute-1.amazonaws.com
13714,02-22-2014,22-13-09.784243,a23-76-212-46.deploy.static.akamaitechnologies.com
13741,02-22-2014,22-13-10.106936,api-6a.v.dropbox.com
13761,02-22-2014,22-13-10.417093,199.16.156.8
13856,02-22-2014,22-14-33.275810,imap.perfora.net.imap
13890,02-22-2014,22-15-05.329862,199.16.156.230
13922,02-22-2014,22-17-02.717620,199.16.156.104
13994,02-22-2014,22-17-47.773606,api-8b.v.dropbox.com
14001,02-22-2014,22-18-20.819984,client-10a.v.dropbox.com
14015,02-22-2014,22-18-47.868573,199.96.57.7
