connection_number,date,time,url
1,02-23-2014,16-32-07.482140,a23-67-244-163.deploy.static.akamaitechnologies.com
625,02-23-2014,16-32-13.834060,a23-67-244-89.deploy.static.akamaitechnologies.com
629,02-23-2014,16-32-14.140610,ec2-50-16-213-218.compute-1.amazonaws.com
630,02-23-2014,16-32-18.095567,66.6.40.58
637,02-23-2014,16-32-18.647826,server-54-230-39-165.jfk1.r.cloudfront.net
641,02-23-2014,16-32-18.970599,93.184.216.98
646,02-23-2014,16-32-19.295028,204.93.33.24
659,02-23-2014,16-32-19.606896,66.6.40.79
689,02-23-2014,16-32-23.774166,66.6.40.55
697,02-23-2014,16-32-24.098641,server-54-230-36-141.jfk1.r.cloudfront.net
791,02-23-2014,16-32-24.414255,server-54-230-39-228.jfk1.r.cloudfront.net
2209,02-23-2014,16-32-52.563058,a23-76-216-24.deploy.static.akamaitechnologies.com
3479,02-23-2014,16-33-23.959337,66.6.40.40
6787,02-23-2014,16-33-56.743881,server-204-246-169-198.jfk1.r.cloudfront.net
6823,02-23-2014,16-33-57.052970,server-54-230-37-244.jfk1.r.cloudfront.net
6950,02-23-2014,16-33-57.359729,server-54-230-36-201.jfk1.r.cloudfront.net
6989,02-23-2014,16-33-58.045278,cdce.nym011.internap.com
7032,02-23-2014,16-33-58.404836,68.67.152.215
7033,02-23-2014,16-33-58.710040,a23-50-75-27.deploy.static.akamaitechnologies.com
7034,02-23-2014,16-33-59.082004,199.16.156.198
7036,02-23-2014,16-33-59.387487,a23-76-225-224.deploy.static.akamaitechnologies.com
7037,02-23-2014,16-33-59.692907,ec2-107-20-176-127.compute-1.amazonaws.com
7039,02-23-2014,16-34-00.011194,a23-76-210-110.deploy.static.akamaitechnologies.com
7042,02-23-2014,16-34-00.323980,edge-star-shv-04-lga1.facebook.com
7051,02-23-2014,16-34-22.467083,smtp.perfora.net.submission
7073,02-23-2014,16-34-24.495448,199.16.156.40
7095,02-23-2014,16-34-57.572619,a23-76-229-210.deploy.static.akamaitechnologies.com
7232,02-23-2014,16-35-12.854423,ec2-54-225-177-193.compute-1.amazonaws.com
7235,02-23-2014,16-35-13.158684,a23-67-244-153.deploy.static.akamaitechnologies.com
7240,02-23-2014,16-35-13.483228,a23-66-187-32.deploy.static.akamaitechnologies.com
7242,02-23-2014,16-35-13.790263,12.129.199.102
7249,02-23-2014,16-35-14.092593,a23-76-229-231.deploy.static.akamaitechnologies.com
7267,02-23-2014,16-35-14.402691,204.93.42.225
7280,02-23-2014,16-35-14.712668,ec2-23-21-120-235.compute-1.amazonaws.com
7307,02-23-2014,16-35-18.104544,imap.perfora.net.imap
7347,02-23-2014,16-35-20.137622,199.16.156.231
7518,02-23-2014,16-35-25.244758,199.16.156.70
7531,02-23-2014,16-35-30.261108,ks3325110.kimsufi.com
7813,02-23-2014,16-35-32.345449,r2-amsterdam.webserversystems.com
8158,02-23-2014,16-35-32.907362,8.247.89.200
8433,02-23-2014,16-35-33.238026,pings.conviva.com
8436,02-23-2014,16-35-33.550492,gw004.lphbs.com
8648,02-23-2014,16-35-33.864464,a23-67-244-112.deploy.static.akamaitechnologies.com
10895,02-23-2014,16-35-36.080954,li88-30.members.linode.com
11073,02-23-2014,16-35-40.236154,li367-191.members.linode.com
11246,02-23-2014,16-35-48.322381,98.129.229.144
11969,02-23-2014,16-35-49.260296,a23-76-198-109.deploy.static.akamaitechnologies.com
12091,02-23-2014,16-35-49.914097,a23-76-223-139.deploy.static.akamaitechnologies.com
12115,02-23-2014,16-35-50.547010,ec2-54-243-248-149.compute-1.amazonaws.com
12312,02-23-2014,16-35-51.211951,server-54-230-39-13.jfk1.r.cloudfront.net
12325,02-23-2014,16-35-51.603174,108.168.209.244-static.reverse.softlayer.com
12342,02-23-2014,16-35-52.374015,72.21.91.19
12352,02-23-2014,16-35-52.737950,a23-67-244-50.deploy.static.akamaitechnologies.com
12544,02-23-2014,16-35-53.110851,a23-67-243-66.deploy.static.akamaitechnologies.com
12547,02-23-2014,16-35-53.474848,gw014.lphbs.com
12551,02-23-2014,16-35-53.882307,gw082.lphbs.com
12606,02-23-2014,16-35-54.247114,server-54-230-38-222.jfk1.r.cloudfront.net
12863,02-23-2014,16-36-05.516519,api-6b.v.dropbox.com
12865,02-23-2014,16-36-07.548193,199.16.156.199
12909,02-23-2014,16-36-13.001331,a23-67-244-83.deploy.static.akamaitechnologies.com
14109,02-23-2014,16-36-25.881987,199.16.156.230
